terrace;1;other
geyser;1;other
execution;1;c1
residence;1;c1
radar;1;c1
acre;1;c1
violation;1;c1
confidence;1;b2
hip;1;b2
assumption;1;b2
coincidence;1;b2
bullet;1;b2
district;1;b2
achievement;1;b1
complaint;1;b1
neck;1;a2
desk;1;a1
older;1;other
smaller;1;other
doable;1;other
snippy;1;other
subconscious;1;other
pathetic;1;other
tallest;1;other
bald;1;other
deaf;1;other
psychiatric;1;c1
absent;1;c1
defensive;1;c1
downtown;1;b2
aware;1;b1
